0 0
1 0
2 0
3 0
4 0
5 0
6 0
7 0
8 0
9 0
10 0
11 0
12 0
13 0
14 0
15 0
16 0
17 0
18 0
19 0
20 0
21 0
22 0
23 0
24 0
25 0
26 0
27 0
28 1.07768
29 -0.390703
30 -0.225886
31 -0.111174
32 -0.0905622
33 -0.0328248
34 -0.0162114
35 0.078166
36 0.0363018
37 0.109119
38 0.164099
39 0.156033
40 0.201236
41 0.236843
42 0.109749
43 0.0714479
44 0.149269
45 0.0052757
46 -0.0731664
47 0.0276404
48 -0.129787
49 -0.0142051
50 -0.0784931
51 -0.0629719
52 -0.0771928
53 -0.12902
54 -0.230796
55 0.982414
56 0
57 0
58 0
59 0
60 0
61 0
62 0
63 0
64 0
65 0
66 0
67 0
68 0
69 0
70 0
71 0
72 0
73 0
74 0
75 0
76 0
77 0
78 0
79 0
80 0
81 0
82 0
83 0
